Date,Average Daily Expenditure on Medicine B in Dollars
1/2/2011,114.8746706
1/3/2011,112.0411489
1/4/2011,167.3116175
1/5/2011,241.0583317
1/6/2011,124.5204571
1/7/2011,113.8333722
1/8/2011,149.2555453
1/9/2011,159.0992442
1/10/2011,187.9188007
1/11/2011,138.774122
1/12/2011,176.4914938
1/13/2011,165.7128948
1/14/2011,154.9342959
1/15/2011,144.1556969
1/16/2011,133.3770979
1/17/2011,122.598499
1/18/2011,111.8199
1/19/2011,94.88492505
1/20/2011,77.94995004
1/21/2011,10.75833169
1/22/2011,107
1/23/2011,71.38749755
1/24/2011,35.77499504
1/25/2011,117.8333067
1/26/2011,122.4753463
1/27/2011,153.9206393
1/28/2011,120.0816318
1/29/2011,102.9963202
1/30/2011,85.91100867
1/31/2011,68.82569716
2/1/2011,59.22729247
2/2/2011,49.62888783
2/3/2011,130.0640346
2/4/2011,145.068485
2/5/2011,135.5803416
2/6/2011,131.5002444
2/7/2011,155.4095817
2/8/2011,127.2006825
2/9/2011,164.5716438
2/10/2011,171.5532817
2/11/2011,131.7993764
2/12/2011,168.1998123
2/13/2011,109.0549251
2/14/2011,175.6712332
2/15/2011,100.3107574
2/16/2011,102.0663152
2/17/2011,103.2308075
2/18/2011,112.7327875
2/19/2011,163.47
2/20/2011,149.582805
2/21/2011,135.69561
2/22/2011,121.718784
2/23/2011,120.7504551
2/24/2011,188.1015394
2/25/2011,132.30319
2/26/2011,134.23
2/27/2011,124.6819638
2/28/2011,115.1339275
3/1/2011,143.3565213
3/2/2011,171.5791151
3/3/2011,100.6893721
3/4/2011,142.49994
3/5/2011,156.6848943
3/6/2011,135.6019072
3/7/2011,212.50596
3/8/2011,117.3557739
3/9/2011,253.1965881
3/10/2011,169.9182397
3/11/2011,177.9485106
3/12/2011,140.3747299
3/13/2011,116.5442571
3/14/2011,143.8631417
3/15/2011,149.5413426
3/16/2011,145.5674545
3/17/2011,113.6323472
3/18/2011,123.2602777
3/19/2011,80.19995002
3/20/2011,113.2900001
3/21/2011,178.1708189
3/22/2011,122.9841007
3/23/2011,149.6523773
3/24/2011,145.5480173
3/25/2011,109.5475065
3/26/2011,56.93198802
3/27/2011,242.584
3/28/2011,147.2951452
3/29/2011,140.2888844
3/30/2011,122.6086104
3/31/2011,108.4431779
4/1/2011,103.7999001
4/2/2011,99.15662227
4/3/2011,138.6014474
4/4/2011,127.6835873
4/5/2011,145.5937166
4/6/2011,153.6799346
4/7/2011,125.221912
4/8/2011,103.0908152
4/9/2011,158.2184857
4/10/2011,180.344829
4/11/2011,169.0476213
4/12/2011,214.7117875
4/13/2011,160.5861562
4/14/2011,132.9390915
4/15/2011,112.8288851
4/16/2011,117.7626891
4/17/2011,101.0782933
4/18/2011,124.0438404
4/19/2011,136.187907
4/20/2011,104.1090505
4/21/2011,132.3605775
4/22/2011,128.9643636
4/23/2011,128.33828
4/24/2011,149.2099
4/25/2011,138.1257767
4/26/2011,122.7152833
4/27/2011,149.5586507
4/28/2011,128.6529085
4/29/2011,110.85763
4/30/2011,169.3501031
5/1/2011,198.1841766
5/2/2011,227.01825
5/3/2011,117.0099
5/4/2011,150.1856605
5/5/2011,141.5690811
5/6/2011,98.57396005
5/7/2011,136.1727946
5/8/2011,173.8438681
5/9/2011,169.529423
5/10/2011,157.1763571
5/11/2011,121.32386
5/12/2011,147.6513909
5/13/2011,141.3248722
5/14/2011,223.671607
5/15/2011,150.19491
5/16/2011,181.4379332
5/17/2011,160.5529982
5/18/2011,138.127896
5/19/2011,153.4287629
5/20/2011,74.14280907
5/21/2011,165.9282004
5/22/2011,131.6379781
5/23/2011,155.0512634
5/24/2011,131.0704044
5/25/2011,161.5619307
5/26/2011,125.9052494
5/27/2011,129.9774908
5/28/2011,129.43829
5/29/2011,198.6856743
5/30/2011,146.8175923
5/31/2011,131.8739435
6/1/2011,136.8169218
6/2/2011,141.7599
6/3/2011,147.23
6/4/2011,149.0272011
6/5/2011,139.1168102
6/6/2011,121.8226906
6/7/2011,180.1955542
6/8/2011,167.6934786
6/9/2011,162.7397023
6/10/2011,184.0678071
6/11/2011,154.23994
6/12/2011,163.1478977
6/13/2011,145.0850899
6/14/2011,169.3510123
6/15/2011,108.3406213
6/16/2011,155.609158
6/17/2011,148.0919064
6/18/2011,175.0199245
6/19/2011,265.8248167
6/20/2011,156.9712601
6/21/2011,154.2417837
6/22/2011,225.2969829
6/23/2011,116.416099
6/24/2011,165.952239
6/25/2011,163.5390833
6/26/2011,167.400775
6/27/2011,156.233128
6/28/2011,180.3149928
6/29/2011,137.4698374
6/30/2011,137.9572443
7/1/2011,136.7157372
7/2/2011,135.47423
7/3/2011,124.7080738
7/4/2011,103.6977582
7/5/2011,115.969975
7/6/2011,122.0644481
7/7/2011,157.009482
7/8/2011,191.0281409
7/9/2011,144.7749501
7/10/2011,185.1879264
7/11/2011,141.8801573
7/12/2011,116.2849785
7/13/2011,170.1251386
7/14/2011,176.650397
7/15/2011,176.2482379
7/16/2011,238.4702981
7/17/2011,194.9311375
7/18/2011,122.6280979
7/19/2011,193.8884073
7/20/2011,131.7238528
7/21/2011,187.2888488
7/22/2011,159.2325462
7/23/2011,129.7834292
7/24/2011,159.04702
7/25/2011,166.3789688
7/26/2011,150.7396797
7/27/2011,152.9154604
7/28/2011,133.1465289
7/29/2011,147.1686731
7/30/2011,157.9877148
7/31/2011,137.9885171
8/1/2011,115.765555
8/2/2011,93.54259265
8/3/2011,88.26397254
8/4/2011,94.28370084
8/5/2011,185.5815958
8/6/2011,153.4514059
8/7/2011,145.5691039
8/8/2011,165.1494724
8/9/2011,161.8908676
8/10/2011,106.9206674
8/11/2011,135.2992182
8/12/2011,155.5828411
8/13/2011,256.7259762
8/14/2011,142.6052284
8/15/2011,191.3038667
8/16/2011,108.0501476
8/17/2011,132.9387444
8/18/2011,162.8777421
8/19/2011,176.210195
8/20/2011,159.7103438
8/21/2011,229.80188
8/22/2011,142.965171
8/23/2011,147.7184832
8/24/2011,178.5665352
8/25/2011,220.6893294
8/26/2011,182.5021167
8/27/2011,126.0009728
8/28/2011,182.5977389
8/29/2011,155.4978473
8/30/2011,171.9721278
8/31/2011,160.0231461
9/1/2011,139.2307676
9/2/2011,118.4383891
9/3/2011,90.66644624
9/4/2011,152.0013228
9/5/2011,108.9824296
9/6/2011,141.1053574
9/7/2011,154.40329
9/8/2011,186.5422376
9/9/2011,155.6785439
9/10/2011,194.16194
9/11/2011,138.2792338
9/12/2011,163.2961597
9/13/2011,139.419685
9/14/2011,243.7526689
9/15/2011,131.0411106
9/16/2011,148.0014344
9/17/2011,156.5339423
9/18/2011,144.062435
9/19/2011,202.8194746
9/20/2011,157.237228
9/21/2011,191.9523645
9/22/2011,176.8258088
9/23/2011,162.5036615
9/24/2011,127.80137
9/25/2011,91.16419001
9/26/2011,164.6665032
9/27/2011,137.13709
9/28/2011,158.8419641
9/29/2011,155.5448931
9/30/2011,164.5080454
10/1/2011,115.1362843
10/2/2011,65.76452318
10/3/2011,116.0215826
10/4/2011,75.15222225
10/5/2011,155.4442991
10/6/2011,173.2202111
10/7/2011,167.5370886
10/8/2011,159.1068209
10/9/2011,166.4099
10/10/2011,221.1722479
10/11/2011,164.4936081
10/12/2011,179.7510344
10/13/2011,151.3805923
10/14/2011,138.3787613
10/15/2011,138.91787
